"","Município","UF","Índice de Acesso a Capital","Rank Acesso a Capital","Índice de Ambiente Regulatório","Rank Ambiente Regulatório","Índice de Capital Humano","Rank Capital Humano","Índice de Cultura","Rank Cultura","Índice de Infraestrutura","Rank Infraestrutura","Índice de Inovação","Rank Inovação","Índice de Mercado","Rank Mercado","Índice Cidades Empreendendoras 2023","Rank ICE 23"
"1","São Paulo","SP",12.0226554350435,1,7.60175630243107,7,6.04663775445011,52,6.20308267492609,39,10.0455143,1,7.93368186728581,5,7.14859829622917,11,8.63317042863252,1
"2","Rio de Janeiro","RJ",7.38745067185918,6,8.29665515913977,3,6.2623751468363,44,6.21446235128525,38,5.732091893,61,7.298127995306,14,6.60639628398495,28,7.71672958737645,8
"3","Brasília","DF",6.62140217035562,9,6.11889932755842,47,6.29402932144228,40,7.98314025225298,4,7.874001585,3,6.3699573887459,35,8.43783365776405,3,7.97867407033047,4
"4","Salvador","BA",6.05995567180888,22,6.18784547051684,43,5.82629486712153,59,6.22270468473812,37,6.698387211,22,6.06010909870641,43,5.39578860663826,71,6.0509139820939,47
"5","Fortaleza","CE",5.98008835019564,26,6.55910430846336,24,4.93532919309906,87,6.44887238945312,26,6.360774606,30,6.35365397680689,36,5.07722772164509,84,6.13755636417604,43
"6","Belo Horizonte","MG",8.89166083674326,4,5.62181570243756,67,7.12253339482518,13,5.77539929870405,68,6.073697751,43,7.27623784406605,15,6.26876859104479,41,6.77933181899044,18
"7","Manaus","AM",5.57779776782418,70,6.42147696666793,28,4.55208019346404,94,7.04216875824181,13,4.716353821,93,6.38054243884448,34,6.75049843104712,23,6.66538677640853,22
"8","Curitiba","PR",9.26366978779184,3,6.6335428258499,23,6.57281489093347,30,6.44530117230496,27,7.059570422,18,7.58075784644759,10,6.9577687218462,17,7.76538707749856,7
"9","Recife","PE",6.35511916151402,14,4.99206439479058,88,7.12813801067417,11,6.14259301605369,43,6.778063016,20,7.07210701981057,16,5.43827485785589,69,5.97646205848104,51
"10","Goiânia","GO",6.35810552263092,13,8.50592521870637,1,5.99786403712558,56,6.75044042618033,18,6.484659195,25,5.96656364310188,48,5.51011969854339,66,7.35631624677244,10
"11","Belém","PA",5.95764917423761,30,3.91812059101645,100,5.72483479872533,63,7.06782085426683,12,4.720633355,92,6.28098439860195,38,6.39668285628427,37,5.84691257019486,58
"12","Porto Alegre","RS",8.71674896508776,5,5.30810524299177,72,7.42333317828609,4,6.30212701753167,34,7.507258138,8,7.37703477418662,11,6.65870712610733,26,7.07691887977357,14
"13","Guarulhos","SP",5.63149833570715,64,5.07003363895115,84,5.33610840486075,76,3.41271210905655,101,7.5550945,7,6.09081456111348,40,6.47407064351209,33,4.17248421112769,99
"14","Campinas","SP",6.50482478330463,10,5.6424430587557,66,7.12405141328653,12,5.7184058005073,71,7.356820595,10,7.99249696468561,4,6.6025075380416,29,6.4716137173809,28
"15","São Luís","MA",5.73225815836106,49,5.93568283746566,56,5.96255472025183,57,7.15618944423247,10,5.534484127,69,5.84811428101718,52,5.89684630703569,50,6.49514335128235,27
"16","São Gonçalo","RJ",5.41588990383621,92,7.39230260419365,11,4.52270000936,95,5.82145013840856,65,5.523789055,70,4.69686839301254,94,5.19200326573368,80,5.68556643800592,66
"17","Maceió","AL",5.82550580967253,42,5.19994265948729,79,5.48055254724129,71,7.41158837283079,5,5.040541207,83,5.67500830977129,59,4.42352631615455,98,5.89969763298472,55
"18","Duque de Caxias","RJ",5.46293527880429,84,5.72990232847534,62,4.9124703653215,88,6.00374684945387,52,6.257454553,36,5.51149492726358,69,6.20971513920449,43,5.58714506534172,72
"19","Campo Grande","MS",5.91143967732235,33,4.88646316879905,91,6.17875015527506,47,6.426301223221,29,5.513850867,71,5.72616507012998,57,6.32117434341556,39,5.83188798623341,59
"20","Natal","RN",5.83411509797422,41,4.46396592900173,96,6.61480755843004,29,7.02840616213648,14,6.370082481,29,6.00207298939404,46,6.00028295759719,47,6.02168874770671,48
"21","Teresina","PI",5.81505815287637,43,5.30621286670624,73,7.16430493659881,9,6.9724328144943,15,5.246268893,79,5.26391930004234,77,5.360922195512,75,6.11771454706025,44
"22","São Bernardo do Campo","SP",6.04557096042171,25,6.26017295671214,38,6.97431599333435,19,6.06823654117537,49,7.319765027,11,6.63029583405308,25,7.75971235136838,5,6.84214005491094,16
"23","João Pessoa","PB",5.88986498334466,36,5.34409550229355,71,6.50894983711203,32,6.81659616803939,17,5.473318788,73,6.29493840427696,37,5.19995647532924,79,6.09679593672009,45
"24","Nova Iguaçu","RJ",5.45914026097378,85,6.82150403896402,20,5.75027385018626,62,6.09393247432784,47,5.698880798,63,4.87716129182206,86,4.90328701271374,91,5.76937701483849,62
"25","São José dos Campos","SP",5.77761469791409,45,6.40488481314448,30,7.07995170400385,16,6.11414641372728,44,6.355359238,31,7.71146918875365,9,6.61165531109076,27,6.78088093490526,17
"26","Santo André","SP",5.8929479289223,35,6.42709129742918,27,7.14349274492871,10,6.16472908285198,41,6.733873512,21,6.55252007777912,28,6.87718510391239,21,6.72421240691088,19
"27","Ribeirão Preto","SP",6.46670526071321,11,6.12110105667504,46,6.56253518338495,31,5.97727548537969,55,6.160683413,41,6.68601035444651,24,5.98999740123654,48,6.33256096124878,33
"28","Jaboatão dos Guararapes","PE",5.37188503969313,98,6.15706542061352,44,3.98313929237082,99,6.00983756730847,51,5.791785685,56,4.74307111246688,93,4.52214896776346,96,5.05566886459465,86
"29","Uberlândia","MG",5.97379296451254,27,6.37375597323972,33,6.61680783827913,28,5.53359184544724,80,6.416718327,27,6.60254721244012,27,5.37263682121104,73,5.93271576772916,54
"30","Osasco","SP",10.27790850829,2,6.23799193209174,40,6.14370548968031,48,5.59072663655418,78,6.203658874,39,6.44248224215566,31,7.79081079014795,4,7.28855027531846,11
"31","Sorocaba","SP",5.85429409302311,40,5.25335968099526,76,6.77688738867028,23,6.00273975081691,53,7.271292235,13,7.03463088308838,19,6.99646500753722,15,6.22018983809191,38
"32","Contagem","MG",5.63494325253175,63,6.88501844300643,18,5.38104295001686,73,5.80622643667316,66,4.995575419,85,5.44911125965614,71,5.86829508130902,51,5.94067198128364,53
"33","Aracaju","SE",6.13617251968996,20,6.3881681959078,32,5.78564709111992,61,7.15685529081622,9,4.608328688,95,5.54284704219616,64,5.65680969357744,55,6.61479773001712,24
"34","Feira de Santana","BA",5.6448448588734,60,5.94606868834397,55,6.07332869789724,49,6.1545022223029,42,4.934805142,88,5.26715247857518,76,4.39785284488233,99,5.48206619378337,75
"35","Cuiabá","MT",6.2686489755791,15,5.28538703395525,75,6.47097281767168,34,6.74558068963745,19,5.461035751,74,6.0836628449384,41,5.60498102303029,57,6.17003068551314,41
"36","Joinville","SC",5.87886354907312,37,8.42259861756668,2,7.08800168213314,14,6.2823475255449,36,6.284558176,35,7.84520710385971,7,7.75142234628362,6,7.99170507871746,3
"37","Aparecida de Goiânia","GO",5.38872686014475,94,7.62998515505061,5,4.4691783757778,96,6.51551343556236,24,5.022500551,84,5.52996378682773,67,5.06034424759196,85,6.25125111807272,36
"38","Londrina","PR",6.24685630212811,16,7.20339028207579,14,6.27628322054694,41,6.07203647671799,48,6.286287238,34,6.61625616170433,26,5.52202232674337,65,6.59849264765432,25
"39","Juiz de Fora","MG",5.8662076504912,39,4.5590835638219,95,6.87037398348611,22,5.6086562373589,76,6.58736026,23,6.00032588342406,47,5.97941943467535,49,5.32093063942668,82
"40","Porto Velho","RO",5.70869263096126,51,5.71434608980093,64,5.05461749974411,84,7.18084854930154,8,5.570677491,68,6.26244399866524,39,6.10782788196731,44,6.39719681092558,32
"41","Ananindeua","PA",5.44121755092714,89,5.19845826494043,80,4.86465809859711,91,7.32041153792984,7,4.498362342,97,4.82466572573804,88,5.05342879880353,86,5.68076827650025,67
"42","Serra","ES",5.41621633171999,91,6.47375607521188,26,5.57127835435326,65,6.64138277072638,21,5.720674371,62,5.62441763494194,62,6.70359928333187,25,6.45854313390266,30
"43","Caxias do Sul","RS",5.87833839730206,38,5.70782110131103,65,6.00681450561709,55,6.44103985184171,28,5.769425228,60,7.86815339026266,6,7.15369035981886,9,6.69399781503213,20
"44","Macapá","AP",5.58216915434791,69,7.51030068713173,9,5.37453784497868,74,8.54713304012909,2,5.210177049,80,4.88153277053703,84,5.40551339143022,70,7.47718709030195,9
"45","Niterói","RJ",6.05932521020961,23,7.61422772823133,6,7.2161535582984,8,6.28642937023771,35,7.163135596,16,6.08036809752526,42,9.34284781079904,1,7.82839793423693,5
"46","Florianópolis","SC",7.13965532094316,8,7.8576642812506,4,9.11135779841218,1,6.60759297807927,23,7.125851071,17,8.3344747453534,1,6.89556072991273,19,8.40104445174602,2
"47","Belford Roxo","RJ",5.30643972032167,101,5.99197717849844,53,3.34801993118456,100,5.68805763642215,74,6.059372124,44,4.54004430965162,97,5.10944427319269,82,4.81240717460306,89
"48","Campos dos Goytacazes","RJ",5.54218689902614,77,6.21727282033434,41,6.20137367118065,45,3.41271210905655,101,4.985671995,86,5.39738396386517,73,7.00777296541574,14,4.73558219881897,90
"49","Vila Velha","ES",5.62704001447244,65,5.77541560275799,60,7.34884304934527,6,7.11794377732996,11,6.043805137,45,5.53465361722015,66,5.55414493197324,64,6.47069072823424,29
"50","Mauá","SP",5.5183995949029,79,6.30127292854855,37,5.28211315834424,79,4.80223915671332,93,5.902515809,51,5.9449582150288,49,6.21238110592472,42,5.29156361210379,83
"51","São João de Meriti","RJ",5.41428216946763,93,4.76903430415831,93,4.90759898474454,89,5.83902118283139,63,5.602698413,67,4.63237283149231,96,4.79541417572158,93,4.61070312112818,94
"52","São José do Rio Preto","SP",6.24211771319549,17,6.05119207863539,50,7.0682703966179,17,3.41271210905655,101,5.772922233,59,7.05971866742846,17,5.7635901731014,53,4.93106137399515,87
"53","Mogi das Cruzes","SP",5.71564582855618,50,6.6800889651397,21,6.70569733994442,26,5.87435054071235,61,7.206204825,15,5.71430054857082,58,6.05906957477212,45,6.22482080363261,37
"54","Betim","MG",5.54589160406505,75,6.39574520484081,31,5.01223517119008,86,5.51869033617021,81,5.49657122,72,5.81126174557325,54,6.55789674952449,31,5.7454301796083,63
"55","Boa Vista","RR",5.64132587605167,61,6.65332591435803,22,5.52783484862,67,8.65700704111799,1,4.904060835,90,4.87939758949449,85,7.72868354062614,7,7.7957775205229,6
"56","Maringá","PR",6.09659357230179,21,6.85247033760458,19,6.27310577889989,42,6.39363237525696,30,6.5525318,24,6.95241934049682,20,5.61567613762623,56,6.68590113081768,21
"57","Santos","SP",6.42527377573674,12,5.90127938927405,57,6.94028721306537,20,5.5893719513458,79,7.76929511,5,5.02248462898769,82,6.55935917751305,30,5.95315393463034,52
"58","Diadema","SP",5.65426077060125,58,5.82659083102518,59,5.6116532517296,64,6.09463410923344,46,5.880468513,53,7.04919204116517,18,6.78258633648916,22,6.21666440823125,39
"59","Jundiaí","SP",6.05173149131362,24,6.14242631565635,45,7.08729653303855,15,6.48395985700437,25,6.25628212,38,6.4424890021957,30,8.56280270092168,2,7.1985360464644,12
"60","Rio Branco","AC",5.68953929743638,54,4.79009691394331,92,5.44311683056564,72,7.40107560875025,6,5.103385897,82,4.66175222371031,95,4.93671413522079,89,5.65314419511514,71
"61","Montes Claros","MG",5.66554631997065,57,5.05825901523327,86,6.4287116897915,35,5.50127075013339,82,5.342378432,75,5.05904752564756,80,4.92830181743622,90,4.92778190500577,88
"62","Campina Grande","PB",5.6869671474785,55,4.41848608081904,98,6.26527458879315,43,6.65392910812049,20,5.304024129,78,7.99265708059132,3,4.65687172008639,94,5.71318609102196,65
"63","Piracicaba","SP",6.23129291721007,18,5.97005119341709,54,6.71513751610843,25,5.90920359598459,59,7.506936653,9,6.78334735974889,22,7.14919962569942,10,6.51743797400093,26
"64","Carapicuíba","SP",5.37267447548313,97,2.83376668617818,101,5.19184046035877,82,3.41271210905655,101,6.040755247,46,5.54052582817886,65,4.85223505314987,92,2.71581743033979,101
"65","Anápolis","GO",5.6864221661431,56,7.20908811866681,13,5.29371713565921,77,6.10641645395196,45,5.316860458,77,5.36168447075171,74,5.36510015224186,74,6.09666116601207,46
"66","Olinda","PE",5.43615884418952,90,5.07749053842999,83,5.49826733220683,69,5.72374322475812,70,5.897861156,52,5.43057483979605,72,5.4512583499432,68,5.05983878523274,85
"67","Cariacica","ES",5.44798591548542,88,6.50726211809191,25,5.50033391448618,68,3.41271210905655,101,5.336142036,76,4.8379756892228,87,5.30674029756948,76,4.21873778402603,98
"68","Bauru","SP",5.94077103217132,31,6.03807811508713,51,7.35525522724359,5,5.20709380419993,86,5.921781921,49,6.77355391968704,23,6.44094151717697,35,6.01172985155138,49
"69","Itaquaquecetuba","SP",5.37613678686813,96,4.45373826003875,97,4.86697354643835,90,4.88147059533535,91,7.307659272,12,5.64070722496059,60,5.45801000733336,67,4.28742395457647,97
"70","São Vicente","SP",5.57490312051864,71,4.3126065952328,99,5.11232192063632,83,4.87994354509183,92,5.605447942,66,4.51783359648019,98,5.66670053187993,54,4.16001661687823,100
"71","Vitória","ES",7.32028303005263,7,6.03517719125131,52,8.04469585889028,2,3.41271210905655,101,5.160175292,81,7.36618648666426,12,6.73203121211373,24,5.58073472443555,73
"72","Caruaru","PE",5.58917820181148,68,5.03212482462185,87,6.18639253382129,46,6.202452161315,40,4.525251517,96,4.95796301250285,83,4.26616004485334,100,5.06628113271327,84
"73","Caucaia","CE",5.34687189804676,99,5.87136119966218,58,3.04031711313887,101,5.3388140387933,85,4.690415974,94,5.05321293036063,81,5.37688238229661,72,4.67455962995089,91
"74","Blumenau","SC",6.14683976975707,19,7.13882776731759,16,5.96096318639852,58,6.34821456180769,33,6.813991315,19,7.79459620000774,8,6.88372095003002,20,7.18706700874017,13
"75","Petrolina","PE",5.55725366982211,73,5.06843894300312,85,6.02957391353792,53,6.38445683881581,31,4.367936376,99,4.74522903090419,92,5.1231598192652,81,5.32106085535024,81
"76","Ponta Grossa","PR",5.74554948832029,47,6.41165890204916,29,6.37056746919182,38,5.60754155977052,77,7.817201369,4,5.61422663440611,63,6.39871934834882,36,5.99660856558314,50
"77","Franca","SP",5.91305641213212,32,6.08497245941252,49,6.98123086683836,18,5.83690935439759,64,6.0246916,47,5.89838009953455,50,5.27760163865364,77,5.88504700252926,57
"78","Canoas","RS",5.62249617600894,66,5.48854691374418,69,5.36220514569856,75,5.96182883620855,56,6.44385361,26,6.42731762459704,33,6.02244193360468,46,5.68044185317499,68
"79","Pelotas","RS",5.81128724339359,44,5.19837279672533,81,6.77417651937776,24,5.7509702079841,69,6.192486202,40,6.43670008782413,32,5.10484810726681,83,5.48374213557397,74
"80","Vitória da Conquista","BA",5.64790051737208,59,5.17041546607845,82,6.06582663159502,50,5.3656628019392,84,4.443168294,98,4.80241398892814,90,3.92583059420161,101,4.54521779278613,95
"81","Ribeirão das Neves","MG",5.30874198738281,100,5.29067628508789,74,4.17193017061128,98,5.10100177833787,89,4.942915158,87,4.39360492798589,100,5.24385351938339,78,4.3398422246507,96
"82","Uberaba","MG",5.74099320694705,48,6.24677790678146,39,6.0552540216743,51,4.90669466521164,90,5.686606026,64,5.8851376785412,51,5.56695512604913,59,5.32463221773077,79
"83","Paulista","PE",5.38263981882207,95,6.09830315378584,48,4.79131495661665,93,5.8435389745255,62,5.644030135,65,4.76369627692647,91,5.5577003359102,62,5.32145298228908,80
"84","Praia Grande","SP",5.5924735918252,67,7.56693586800758,8,6.90556556699702,21,5.64540920520856,75,5.786600364,57,4.03418420285721,101,4.94931994453659,88,5.89380905731123,56
"85","Cascavel","PR",5.96397932466523,29,7.32981510181391,12,6.49805337691318,33,5.98103566484602,54,6.381236779,28,6.53077440208977,29,5.0000191921621,87,6.43367748482387,31
"86","São José dos Pinhais","PR",5.55626082686135,74,7.42366200696647,10,5.29028156155861,78,5.7936024875961,67,6.256332361,37,6.86442840864154,21,7.09809124254068,12,6.66098058285665,23
"87","Guarujá","SP",5.55997397592639,72,6.31766877404152,35,5.49737138373053,70,5.1884487958414,87,7.576837194,6,5.78139802998748,55,5.56478011143287,60,5.37983791482282,77
"88","Taubaté","SP",5.69499490070293,53,4.92774286005695,90,6.67696932013798,27,5.7165368865893,72,6.138199942,42,5.82503313818995,53,6.96097832396792,16,5.66618805446635,69
"89","Palmas","TO",5.97292719835484,28,4.76568098984156,94,6.42370317555708,36,8.27508955415118,3,4.93235838,89,5.62918909663762,61,6.44512733356678,34,6.86080689627285,15
"90","Limeira","SP",5.76800524952957,46,5.73462164935282,61,7.29324274815111,7,5.12969685830266,88,7.980646904,2,8.05661822699757,2,6.94763988815363,18,6.15662662985631,42
"91","Camaçari","BA",5.47945910342319,83,5.36593341300864,70,5.02235900903368,85,5.69949370170749,73,4.760020249,91,6.01919280860533,45,7.40997164517636,8,5.66172051959911,70
"92","Santarém","PA",5.51123805442552,80,7.14351309392098,15,6.0290530820266,54,6.81806823199604,16,3.890923628,101,4.43710008890236,99,4.64905254693811,95,6.2001037794529,40
"93","Petrópolis","RJ",5.70468514596315,52,6.30838381575392,36,5.54625409569875,66,5.93900677159344,58,6.309852457,33,5.22364513958261,78,5.55427314805692,63,5.72122874815437,64
"94","Mossoró","RN",5.63579377867949,62,4.98188236555843,89,6.42219888686725,37,6.63736324265628,22,5.823680442,55,5.47443335507874,70,4.45628946614982,97,5.4736431726583,76
"95","Suzano","SP",5.54228271279393,76,6.33521059466754,34,6.30432248828494,39,5.47283599249172,83,7.226814514,14,5.28469551761927,75,6.55189457322309,32,5.81762399450854,61
"96","Taboão da Serra","SP",5.5346078737269,78,5.2224677950348,78,5.82463193681558,60,4.40240545741742,95,6.344772445,32,6.02876855271906,44,5.8448904692725,52,4.66031366914882,92
"97","Várzea Grande","MT",5.50388766073382,82,5.57212963846849,68,5.2322462307443,80,5.94196676705555,57,5.778529757,58,5.16284112045586,79,5.56300431157051,61,5.32980807266845,78
"98","Sumaré","SP",5.51065653766091,81,5.22582725807335,77,4.20471163367008,97,4.74758155223422,94,5.921248656,50,5.51986053241993,68,6.38063113460968,38,4.63838494352295,93
"99","Marabá","PA",5.45408114753087,87,6.90138117903617,17,4.79579768511276,92,6.37893640744556,32,4.095503156,100,4.82038358684136,89,7.06586411483824,13,6.31300349608086,34
"100","Gravataí","RS",5.4580402482807,86,6.2037580939891,42,5.22646716228218,81,5.89393737939113,60,5.854320817,54,5.73310279015228,56,6.30631260273605,40,5.81912769920233,60
"101","Santa Maria","RS",5.90754222039732,34,5.72115870474603,63,7.65017208062455,3,6.01616987985459,50,5.960283968,48,7.31292714926519,13,5.59587583688623,58,6.25548397229869,35
