"","Município","UF","Índice de Acesso a Capital","Índice de Ambiente Regulatório","Índice de Capital Humano","Índice de Cultura","Índice de Infraestrutura","Índice de Inovação","Índice de Mercado"
"1","São Paulo","SP",12.0226554350435,7.60175630243107,6.04663775445011,6.21272197774609,10.0455143036882,7.93368186728581,7.08245778937124
"2","Rio de Janeiro","RJ",7.38745067185918,8.29665515913977,6.2623751468363,5.51000090876583,5.73209189252556,7.298127995306,6.5291522080833
"3","Brasília","DF",6.62140217035562,6.11889932755842,6.29402932144228,6.12489059698402,7.87400158472457,6.3699573887459,7.45129576393437
"4","Salvador","BA",6.05995567180888,6.18784547051684,5.82629486712153,5.51000090876583,6.69838721113663,6.06010909870641,5.64020024336324
"5","Fortaleza","CE",5.98008835019564,6.55910430846336,4.93532919309906,5.51000090876583,6.36077460615931,6.35365397680689,5.12873201977788
"6","Belo Horizonte","MG",8.89166083674326,5.62181570243756,7.12253339482518,5.51000090876583,6.07369775126971,7.27623784406605,6.46450433919128
"7","Manaus","AM",5.57779776782418,6.42147696666793,4.55208019346404,5.51000090876583,4.71635382051226,6.38054243884448,6.26344132283006
"8","Curitiba","PR",9.26366978779183,6.6335428258499,6.57281489093347,5.51000090876583,7.05957042225189,7.58075784644759,7.23961317620277
"9","Recife","PE",6.35511916151402,4.99206439479058,7.12813801067417,5.51000090876583,6.77806301647917,7.07210701981057,5.68987497334376
"10","Goiânia","GO",6.35810552263092,8.50592521870637,5.99786403712558,5.51000090876583,6.48465919493463,5.96656364310188,5.80805985671801
"11","Belém","PA",5.95764917423761,3.91812059101645,5.72483479872533,6.16178397827712,4.72063335473615,6.28098439860195,6.60789275252974
"12","Porto Alegre","RS",8.71674896508777,5.30810524299177,7.42333317828609,5.51000090876583,7.5072581378873,7.37703477418662,6.81541570008293
"13","Guarulhos","SP",5.63149833570715,5.07003363895115,5.33610840486075,5.51000090876583,7.55509449950956,6.09081456111348,6.34518281021286
"14","Campinas","SP",6.50482478330463,5.6424430587557,7.12405141328653,5.51000090876583,7.35682059491855,7.99249696468561,6.56922358012016
"15","São Luís","MA",5.73225815836106,5.93568283746566,5.96255472025183,6.34625088474257,5.53448412744269,5.84811428101718,6.01719451420454
"16","São Gonçalo","RJ",5.41588990383621,7.39230260419365,4.52270000936,5.51000090876583,5.52378905503823,4.69686839301254,5.20073193425896
"17","Maceió","AL",5.82550580967253,5.19994265948729,5.48055254724129,5.51000090876583,5.04054120661304,5.67500830977129,4.59652091870496
"18","Duque de Caxias","RJ",5.46293527880429,5.72990232847534,4.9124703653215,5.51000090876583,6.25745455343051,5.51149492726358,5.40844344658886
"19","Campo Grande","MS",5.91143967732236,4.88646316879905,6.17875015527506,5.51000090876583,5.51385086656971,5.72616507012998,6.25050281689373
"20","Natal","RN",5.83411509797422,4.46396592900173,6.61480755843004,6.17408177204148,6.3700824805786,6.00207298939404,6.28188906235369
"21","Teresina","PI",5.81505815287637,5.30621286670624,7.16430493659881,6.84518056797484,5.24626889302486,5.26391930004234,5.3349412683887
"22","São Bernardo do Campo","SP",6.04557096042171,6.26017295671214,6.97431599333435,6.16880191093483,7.31976502650026,6.63029583405308,7.31888638068192
"23","João Pessoa","PB",5.88986498334466,5.34409550229355,6.50894983711203,6.16178397827712,5.47331878762358,6.29493840427696,5.53523323434352
"24","Nova Iguaçu","RJ",5.45914026097378,6.82150403896402,5.75027385018626,5.51000090876583,5.69888079775491,4.87716129182206,4.51870270742746
"25","São José dos Campos","SP",5.77761469791409,6.40488481314448,7.07995170400385,7.93982958541211,6.35535923797591,7.71146918875365,6.43333851196456
"26","Santo André","SP",5.8929479289223,6.42709129742918,7.14349274492871,6.89891756891202,6.73387351150791,6.55252007777912,6.87021288218016
"27","Ribeirão Preto","SP",6.46670526071322,6.12110105667504,6.56253518338495,5.51000090876583,6.16068341330663,6.68601035444651,6.25198449095187
"28","Jaboatão dos Guararapes","PE",5.37188503969313,6.15706542061352,3.98313929237082,5.51000090876583,5.79178568529277,4.74307111246688,4.3444392787705
"29","Uberlândia","MG",5.97379296451254,6.37375597323972,6.61680783827913,5.51000090876583,6.41671832672825,6.60254721244012,6.39431235462179
"30","Osasco","SP",10.2779085082901,6.23799193209174,6.14370548968031,6.0809617773123,6.20365887385972,6.44248224215566,7.39188542164211
"31","Sorocaba","SP",5.85429409302311,5.25335968099526,6.77688738867028,6.0809617773123,7.27129223474436,7.03463088308838,6.96008662265704
"32","Contagem","MG",5.63494325253175,6.88501844300643,5.38104295001686,5.51000090876583,4.99557541949225,5.44911125965614,6.10572533195691
"33","Aracaju","SE",6.13617251968996,6.3881681959078,5.78564709111992,6.86274946998539,4.6083286880243,5.54284704219616,5.95121497531634
"34","Feira de Santana","BA",5.6448448588734,5.94606868834397,6.07332869789724,5.51000090876583,4.93480514233097,5.26715247857518,4.66226997176314
"35","Cuiabá","MT",6.2686489755791,5.28538703395525,6.47097281767168,6.22327294709893,5.46103575087863,6.0836628449384,5.59975645034286
"36","Joinville","SC",5.87886354907312,8.42259861756668,7.08800168213314,5.51000090876583,6.28455817560075,7.84520710385971,7.98985363847519
"37","Aparecida de Goiânia","GO",5.38872686014475,7.62998515505061,4.4691783757778,5.99312164368976,5.02250055100675,5.52996378682773,5.08487125318727
"38","Londrina","PR",6.24685630212811,7.20339028207579,6.27628322054694,5.51000090876583,6.28628723809801,6.61625616170433,5.78507028256049
"39","Juiz de Fora","MG",5.8662076504912,4.5590835638219,6.87037398348611,5.51000090876583,6.58736025953478,6.00032588342406,6.26012193079389
"40","Porto Velho","RO",5.70869263096126,5.71434608980093,5.05461749974411,5.51000090876583,5.57067749137867,6.26244399866524,6.14535412229924
"41","Ananindeua","PA",5.44121755092714,5.19845826494043,4.86465809859711,6.24786853462766,4.49836234187935,4.82466572573804,4.85284819206364
"42","Serra","ES",5.41621633171999,6.47375607521188,5.57127835435326,5.51000090876583,5.72067437140998,5.62441763494194,6.7991001539992
"43","Caxias do Sul","RS",5.87833839730206,5.70782110131103,6.00681450561709,5.51000090876583,5.76942522807736,7.86815339026266,7.17968461738655
"44","Macapá","AP",5.58216915434791,7.51030068713173,5.37453784497868,7.24398107668067,5.21017704856815,4.88153277053703,5.2113371461751
"45","Niterói","RJ",6.05932521020961,7.61422772823133,7.2161535582984,5.51000090876583,7.1631355960728,6.08036809752526,9.01005187712515
"46","Florianópolis","SC",7.13965532094316,7.8576642812506,9.11135779841218,5.51000090876583,7.1258510711125,8.3344747453534,7.33900574327912
"47","Belford Roxo","RJ",5.30643972032167,5.99197717849844,3.34801993118456,5.51000090876583,6.05937212428459,4.54004430965162,3.84330079067701
"48","Campos dos Goytacazes","RJ",5.54218689902614,6.21727282033434,6.20137367118065,5.51000090876583,4.98567199531371,5.39738396386517,6.89713345688739
"49","Vila Velha","ES",5.62704001447244,5.77541560275799,7.34884304934527,5.51000090876583,6.04380513674113,5.53465361722015,5.91328746258977
"50","Mauá","SP",5.5183995949029,6.30127292854855,5.28211315834424,6.03704171050103,5.90251580880153,5.9449582150288,5.89840591093876
"51","São João de Meriti","RJ",5.41428216946763,4.76903430415831,4.90759898474454,8.33245482538956,5.60269841290171,4.63237283149231,4.41145028414796
"52","São José do Rio Preto","SP",6.24211771319549,6.05119207863539,7.0682703966179,5.51000090876583,5.77292223252206,7.05971866742846,6.03054695192362
"53","Mogi das Cruzes","SP",5.71564582855618,6.6800889651397,6.70569733994442,6.16178397827712,7.20620482450638,5.71430054857082,5.91712876122396
"54","Betim","MG",5.54589160406505,6.39574520484081,5.01223517119008,5.51000090876583,5.49657122020654,5.81126174557325,6.16767070288386
"55","Boa Vista","RR",5.64132587605167,6.65332591435803,5.52783484862,7.44776808599844,4.90406083451284,4.87939758949449,7.23457190239729
"56","Maringá","PR",6.09659357230179,6.85247033760458,6.27310577889989,5.51000090876583,6.55253179970515,6.95241934049682,5.98810379875558
"57","Santos","SP",6.42527377573674,5.90127938927405,6.94028721306537,5.51000090876583,7.76929511018636,5.02248462898769,6.47551792863919
"58","Diadema","SP",5.65426077060125,5.82659083102518,5.6116532517296,6.0809617773123,5.88046851332125,7.04919204116517,6.43588512400052
"59","Jundiaí","SP",6.05173149131363,6.14242631565635,7.08729653303855,10.0559930331059,6.25628212039704,6.4424890021957,8.51228791871856
"60","Rio Branco","AC",5.68953929743638,4.79009691394331,5.44311683056564,5.51000090876583,5.10338589739777,4.66175222371031,5.08986040723415
"61","Montes Claros","MG",5.66554631997065,5.05825901523327,6.4287116897915,5.51000090876583,5.34237843171749,5.05904752564756,5.21598257895913
"62","Campina Grande","PB",5.6869671474785,4.41848608081904,6.26527458879315,5.51000090876583,5.30402412874505,7.99265708059132,4.92189701921633
"63","Piracicaba","SP",6.23129291721007,5.97005119341709,6.71513751610843,6.21272197774609,7.50693665333776,6.78334735974889,7.39945395541062
"64","Carapicuíba","SP",5.37267447548312,2.83376668617818,5.19184046035877,5.51000090876583,6.04075524689546,5.54052582817886,4.68986253435419
"65","Anápolis","GO",5.6864221661431,7.20908811866681,5.29371713565921,5.51000090876583,5.31686045813777,5.36168447075171,5.55915536773194
"66","Olinda","PE",5.43615884418952,5.07749053842999,5.49826733220683,5.51000090876583,5.89786115578698,5.43057483979605,5.62653552900526
"67","Cariacica","ES",5.44798591548542,6.50726211809191,5.50033391448618,5.51000090876583,5.33614203617618,4.8379756892228,5.3137074124604
"68","Bauru","SP",5.94077103217132,6.03807811508713,7.35525522724359,6.25664204455736,5.92178192137081,6.77355391968704,6.68677827714026
"69","Itaquaquecetuba","SP",5.37613678686813,4.45373826003875,4.86697354643835,5.51000090876583,7.30765927225308,5.64070722496059,5.08252730534587
"70","São Vicente","SP",5.57490312051864,4.3126065952328,5.11232192063632,5.51000090876583,5.60544794173063,4.51783359648019,4.96452876904282
"71","Vitória","ES",7.32028303005263,6.03517719125131,8.04469585889028,5.51000090876583,5.16017529224637,7.36618648666426,7.18232503698082
"72","Caruaru","PE",5.58917820181148,5.03212482462185,6.18639253382129,5.51000090876583,4.52525151655157,4.95796301250285,4.63791599316981
"73","Caucaia","CE",5.34687189804676,5.87136119966218,3.04031711313887,5.51000090876583,4.69041597404976,5.05321293036063,4.55097031842189
"74","Blumenau","SC",6.14683976975707,7.13882776731759,5.96096318639852,5.51000090876583,6.81399131463339,7.79459620000774,7.18234313415349
"75","Petrolina","PE",5.55725366982211,5.06843894300312,6.02957391353792,5.51000090876583,4.36793637551155,4.74522903090419,5.28222984618086
"76","Ponta Grossa","PR",5.74554948832029,6.41165890204916,6.37056746919182,5.51000090876583,7.8172013687407,5.61422663440611,7.03616755573121
"77","Franca","SP",5.91305641213212,6.08497245941252,6.98123086683836,7.2778326121716,6.0246916003166,5.89838009953455,5.70660399168277
"78","Canoas","RS",5.62249617600894,5.48854691374418,5.36220514569856,6.0809617773123,6.44385360982928,6.42731762459704,5.76535574511149
"79","Pelotas","RS",5.81128724339359,5.19837279672533,6.77417651937776,6.12488184412356,6.19248620155599,6.43670008782413,5.26376422162138
"80","Vitória da Conquista","BA",5.64790051737208,5.17041546607845,6.06582663159502,5.51000090876583,4.44316829449281,4.80241398892814,4.26812282541074
"81","Ribeirão das Neves","MG",5.30874198738281,5.29067628508789,4.17193017061128,5.51000090876583,4.94291515785157,4.39360492798589,4.95564122938542
"82","Uberaba","MG",5.74099320694705,6.24677790678146,6.0552540216743,5.51000090876583,5.68660602561129,5.8851376785412,5.88697662268304
"83","Paulista","PE",5.38263981882207,6.09830315378584,4.79131495661665,6.16880191093483,5.6440301350845,4.76369627692647,5.45357425207054
"84","Praia Grande","SP",5.5924735918252,7.56693586800758,6.90556556699702,6.86137928079996,5.78660036405643,4.03418420285721,4.45456994850328
"85","Cascavel","PR",5.96397932466523,7.32981510181391,6.49805337691318,9.26693317562558,6.3812367792438,6.53077440208977,5.34885659820904
"86","São José dos Pinhais","PR",5.55626082686135,7.42366200696647,5.29028156155861,5.51000090876583,6.25633236131016,6.86442840864154,8.08904956729366
"87","Guarujá","SP",5.55997397592639,6.31766877404152,5.49737138373053,5.51000090876583,7.57683719407781,5.78139802998748,4.91791769458286
"88","Taubaté","SP",5.69499490070293,4.92774286005695,6.67696932013798,6.25664204455736,6.1381999419277,5.82503313818995,6.9814419453736
"89","Palmas","TO",5.97292719835484,4.76568098984156,6.42370317555708,8.74044293522272,4.93235837969653,5.62918909663762,6.49439655184541
"90","Limeira","SP",5.76800524952957,5.73462164935282,7.29324274815111,6.12488184412356,7.9806469042386,8.05661822699757,7.13581108735225
"91","Camaçari","BA",5.47945910342319,5.36593341300864,5.02235900903368,5.51000090876583,4.76002024890133,6.01919280860533,6.62635940739217
"92","Santarém","PA",5.51123805442552,7.14351309392098,6.0290530820266,5.51000090876583,3.89092362801685,4.43710008890236,4.57630699811663
"93","Petrópolis","RJ",5.70468514596315,6.30838381575392,5.54625409569875,5.51000090876583,6.30985245687516,5.22364513958261,5.60613856935268
"94","Mossoró","RN",5.63579377867949,4.98188236555843,6.42219888686725,5.51000090876583,5.82368044173438,5.47443335507874,4.67139205219492
"95","Suzano","SP",5.54228271279393,6.33521059466754,6.30432248828494,6.17408177204148,7.22681451385387,5.28469551761927,6.4830655223391
"96","Taboão da Serra","SP",5.5346078737269,5.2224677950348,5.82463193681558,11.6300130498082,6.34477244528086,6.02876855271906,5.48124180113282
"97","Várzea Grande","MT",5.50388766073382,5.57212963846849,5.2322462307443,5.51000090876583,5.77852975705402,5.16284112045586,5.62890130069358
"98","Sumaré","SP",5.51065653766091,5.22582725807335,4.20471163367008,5.51000090876583,5.9212486564493,5.51986053241993,6.41992931522697
"99","Marabá","PA",5.45408114753087,6.90138117903617,4.79579768511276,5.51000090876583,4.09550315606521,4.82038358684136,6.8593900252753
"100","Gravataí","RS",5.4580402482807,6.2037580939891,5.22646716228218,6.30056211136863,5.85432081749382,5.73310279015228,6.14132846765957
"101","Santa Maria","RS",5.90754222039732,5.72115870474603,7.65017208062455,5.51000090876583,5.96028396810879,7.31292714926519,5.91571415604818
